invoice_id,auction_date,total_balance,stock_number,item,total,msrp,description,category,condition,image_urls,sales_price
090424-3501-187761,2024-09-04,278.74,100,10ft x 10ft Square Backdrop Stand,12.23,17.99,No additional description provided in the invoice.,General Merchandise,NEW,,0.0
090424-3501-187761,2024-09-04,278.74,110,"Wake In Cloud - Plaid Pillow Cases, 100% Washed Cotton,",7.34,17.99,"Buffalo Check Gingham Checkered Farmhouse, Set of 2
Pillowcases Pillow Shams Covers, Gray White, Standard Size
20x26 Inches
Item Qty Bid Amount Premium Fee Tax Total
Plaid Design: Features a classic buffalo check gingham pattern that brings a touch of timeless charm and luxury to your
home decor|Ideal for fans of farmhouse style|Standard Size: 2 Pillow Cases 20x26 inches|100% Washed Cotton: Crafted from natural cotton, these pillowcases feature a relaxed, elegantly wrinkled appearance,
enhancing your bedroom's comfort and style|Thoughtful Details: Envelope closure ensures that the pillow stays securely in place, tuck for a polished look or leave
loose for a casual vibe|Easy Care: Cleaning is a breeze|Machine wash in cold water on a gentle cycle, then tumble dry on low or let it air dry|Avoid bleach",Home & Garden,NEW,,0.0
090424-3501-187761,2024-09-04,278.74,122,Queen Size Mattress Pad,11.0,112.99,No additional description provided in the invoice.,General Merchandise,NEW,,0.0
090424-3501-187761,2024-09-04,278.74,141,"TONOR Bilayer Acoustic Panels Large Self-adhesive,",4.89,112.99,"Large Soundproof Tiles for Echo Absorbtion, Acoustical Barrier of
Polyester Fiber
Easy installation: Our acoustic panels have a unique self-adhesive design with a strong adhesive on the back|No need
for additional tape, simply peel and stick them onto various smooth surfaces to secure in place|What’s more, the
adhesive on the back of the sound-absorbing panels is designed to protect your walls from any damage|Decoration Style: Our soundproof panels have a trendy classic stripe pattern and can be used as decorative wall art|They
are perfect for various spaces like studios, living rooms, bedrooms, and home theaters|The panels can be easily cut to fit
different rooms without sacrificing performance, giving better coverage|High-Quality: The surface of our acoustic panels is heat-treated to ensure a durable texture|They are made of 100%
high-density polyester fiber material, which is non-toxic, odorless, and formaldehyde-free|They are safe for adults,
children, and pets to breathe and touch",Home & Garden,NEW,,0.0
090424-3501-187761,2024-09-04,278.74,151,"C Sofa Side End Table, TV Tray Table, C Shaped Snack",13.45,29.95,"Table with Metal Frame for Couch Bed Laptop Tablet, Industrial
for Living Room Bedroom, Rustic Brown and Black
【No wheels & Easy to Move under Sofa Couch】Without wheels, but still easy to slide under your sofa, couch or bed to
make your book, laptop, tablet, snack, coffee, remote, phone easier to reach|【Multiple Use】The slim C shaped table, except as side table, end table, snack table or nightstand in your living room or
bedroom, also could be used to put printer or file box in the office or when you work from home|The table top is made of
MDF board|【Sturdy & Easy Clean】Made of steel tube and durable MDF board; load up to 60 lbs; Water resistant top, easily wiped
when drinks spilled|【Simple & Easy Assembly】We have pre-installed screws which should be assembled in the MDF board top|You only
need to install the legs and bottome bars with screws provided|Comes with all the hardware and assembly instructions|Overall dimensions with wheels: 19|3"" x 13"" x 26|6"" (with adjustable feet)|【Adjustable Feet】Adjustable footpads enable the table stable and even on different situations and protect your floor
from scratches",Home & Garden,NEW,,0.0
090424-3501-187761,2024-09-04,278.74,175,T8 LED Tube Light with R17D Rotatable Base,6.11,69.99,No additional description provided in the invoice.,Home & Garden,NEW,,0.0
090424-3501-187761,2024-09-04,278.74,179,No Tools - No Drill Cordless Mini Blinds,1.22,69.99,No additional description provided in the invoice.,Tools & Hardware,NEW,,0.0
090424-3501-187761,2024-09-04,278.74,183,"FITUEYES Black Floating TV Stand Wall Mounted, Floating",4.89,69.99,"Entertainment Center Wood Storage, Floating Media Console
Shelf Under TV for Living Room,39|4""
Item Qty Bid Amount Premium Fee Tax Total
【Space Saving & Ample Storage Space】Our 2 tier modern wall mount floating shelf comes with 3 generous storage
compartments, frees up valuable floor space|【Durable Construction】This wall mounted console is constructed by high quality particle board, which not only provides
durability and sturdiness, but also no harm to your health|【Multi-Purpose 】2 tiers shelves is perfect for router, set-top box, DVD player, CDs, remote, projector cable box, game
console, TV component and decorations|【Wire Management】Our console have cable holes designed for hiding messy cables|Keep your stuff neatly organized,
making living space more beautiful and comfortable|【Easy Installation】It can be easily assembled with simple step-by-step instructions|Finished dimensions is
39|9 in(LxWxH)|Weight capacity for shelf :55/33IBS",Electronics & Technology,NEW,,0.0
090424-3501-187761,2024-09-04,278.74,194,A-Premium Front Hood Lift Supports Shock Struts,3.67,18.99,"Compatible with BMW 323i E46 325i 328i 323Ci 323Ci 325Ci
328Ci 330Ci 325xi 330xi 1998-2006
【Perfect Fitment】Compatible with BMW E46 323Ci 2000, 323i/328i 1998-2000, 323ic/328Ci 1999-2000, 325Ci/330Ci
2001-2006, 325i/325xi/330i/330xi 2001-2005---Base model, Hood (For 323Ci/325Ci, which doesn't fit Sedan model)
【Reference Number】Replacement for SG402048, 4115, 013631, 1381MF, 8194131,51238202688
【About Package】Package includes 2 pieces Lift Supports|Strong package with thick cardbord and air column bag,
which provides shock absorption and protection during transportation|【Directly Fit】OE replacement Lift Supports Shock Struts, directly fit|Easy installation, no special tools required|High
strength leak-proof piston seal; Superior rod finish resists corrosion; Easy lifting and reduce closing effort",Clothing & Accessories,NEW,,0.0
090424-3501-187761,2024-09-04,278.74,210,A-Premium Mystery Car Accessory for Front Right,1.22,179.99,Passenger Side,Automotive,NEW,,0.0
